Nationality,Location,StartDate,EndDate,MinDeaths,MaxDeaths,DeathsOverride,DeathsFinal,AirRate,CivilianRate,IntentionalRate,Tags,AirForce,Notes,Sources,
Germany,"Treuchtlingen, Germany",2/22/45,2/23/45,586,586,,586.0,1,1,1,air-firebomb,,Clarion,http://de.wikipedia.org/wiki/Operation_Clarion,
Germany,"Halberstadt, Germany",2/22/45,2/23/45,172,172,,172.0,1,1,1,air-firebomb,,Clarion,http://de.wikipedia.org/wiki/Operation_Clarion,
Germany,"Nuremberg, Germany",2/20/45,2/21/45,"1,356","1,356",,1356.0,1,1,1,air-firebomb,USAAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_N%C3%BCrnberg,
Germany,"Bremen, Germany",2/17/45,2/17/45,28,28,,28.0,1,1,1,air-firebomb,RAF,,http://www.historic.de/Bremen_im_Krieg/Bombenangriffe/Bombenangriffe1942.htm,
Germany,"Dresden, Germany",2/13/45,2/15/45,"22,7",25,,23850.0,1,1,1,air-firebomb,RAF/USAAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Dresden,
Germany,"Stuttgart, Germany",2/12/45,2/12/45,68,68,,68.0,1,1,1,air-firebomb,RAF/USAAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Stuttgart,
Germany,"Gottingen, Germany",2/9/45,2/9/45,27,27,,27.0,1,1,1,air-firebomb,,,http://de.wikipedia.org/wiki/Luftangriffe_auf_G%C3%B6ttingen,
Germany,"Magdeburg, Germany",1/16/45,1/16/45,2,"2,5",,2250.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriff_auf_Magdeburg,
Germany,"Ingolstadt, Germany",1/15/45,1/15/45,50,50,,50.0,1,1,1,air-firebomb,USAAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Ingolstadt,
Germany,"Munich, Germany",1/8/45,1/8/45,505,505,,505.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_M%C3%BCnchen,
Germany,"Nuremberg, Germany",1/2/45,1/2/45,"1,794","1,794",,1794.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_N%C3%BCrnberg,
Germany,"Gottingen, Germany",1/1/45,1/1/45,47,47,,47.0,1,1,1,air-firebomb,,,http://de.wikipedia.org/wiki/Luftangriffe_auf_G%C3%B6ttingen,
Germany,"Koblenz, Germany",12/28/44,12/29/44,65,65,,65.0,1,1,1,air-firebomb,USAAF/RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Koblenz,
Germany,"Koblenz, Germany",12/22/44,12/22/44,154,154,,154.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Koblenz,
Germany,"Munich, Germany",12/17/44,12/17/44,562,562,,562.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_M%C3%BCnchen,
Germany,"Ulm, Germany",12/17/44,12/17/44,707,707,,707.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Ulm,
Germany,"Bebra, Germany",12/4/44,12/4/44,54,83,,68.5,1,1,1,air-firebomb,USAAF,,http://de.wikipedia.org/wiki/Luftangriff_auf_Bebra_am_4._Dezember_1944,
Germany,"Heilbronn, Germany",12/4/44,12/4/44,"6,5","6,5",,6500.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Heilbronn,
Germany,"Freiburg iB, Germany",11/27/44,11/27/44,"2,8","2,9",,2850.0,1,1,1,air-firebomb,RAF,Tigerfish,http://de.wikipedia.org/wiki/Operation_Tigerfish,
Germany,"Nuremberg, Germany",11/25/44,11/26/44,60,70,,65.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_N%C3%BCrnberg,
Germany,"Koblenz, Germany",11/21/44,11/21/44,64,64,,64.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Koblenz,
Germany,"Duren, Germany",11/16/44,11/16/44,"3,106","3,106",,3106.0,1,1,1,air-firebomb,USAAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_D%C3%BCren,
Germany,"Koblenz, Germany",11/6/44,11/6/44,109,109,,109.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Koblenz,
Germany,"Bochum, Germany",11/4/44,11/4/44,994,1,,997.0,1,1,1,air-firebomb,,,http://de.wikipedia.org/wiki/Luftangriffe_auf_das_Ruhrgebiet,
Germany,"Hannover, Germany",10/26/44,10/26/44,100,201,,150.5,1,1,1,air-firebomb,,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Hannover,
Germany,"Essen, Germany",10/23/44,10/25/44,"1,163","1,2",,1181.5,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_das_Ruhrgebiet,
Germany,"Nuremberg, Germany",10/19/44,10/20/44,237,237,,237.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_N%C3%BCrnberg,
Germany,"Stuttgart, Germany",10/19/44,10/19/44,338,338,,338.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Stuttgart,
Germany,"Salzburg, Germany",10/16/44,10/16/44,245,245,,245.0,1,1,1,air-firebomb,,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Salzburg,
Germany,"Braunschweig, Germany",10/14/44,10/15/44,640,640,,640.0,1,1,1,air-firebomb,RAF,Hurricane,,
Germany,"Duisburg, Germany",10/13/44,10/14/44,"2,5","2,6",,2550.0,1,1,1,air-firebomb,RAF,Hurricane,http://de.wikipedia.org/wiki/Operation_Hurricane_(1944),
Germany,"Bremen, Germany",10/12/44,10/12/44,82,82,,82.0,1,1,1,air-firebomb,USAAF,,http://www.historic.de/Bremen_im_Krieg/Bombenangriffe/Bombenangriffe1942.htm,
Germany,"Koblenz, Germany",10/9/44,10/9/44,71,71,,71.0,1,1,1,air-firebomb,USAAF,,,
Germany,"Bremen, Germany",10/6/44,10/6/44,66,66,,66.0,1,1,1,air-firebomb,RAF,,http://www.historic.de/Bremen_im_Krieg/Bombenangriffe/Bombenangriffe1942.htm,
Germany,"Stralsund, Germany",10/6/44,10/6/44,800,800,,800.0,1,1,1,air-firebomb,USAAF,,http://de.wikipedia.org/wiki/Bombenangriff_auf_Stralsund_am_6._Oktober_1944,
Germany,"Nuremberg, Germany",10/3/44,10/3/44,353,353,,353.0,1,1,1,air-firebomb,USAAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_N%C3%BCrnberg,
Germany,"Koblenz, Germany",9/25/44,9/25/44,109,109,,109.0,1,1,1,air-firebomb,USAAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Koblenz,
Germany,"Koblenz, Germany",9/19/44,9/19/44,144,144,,144.0,1,1,1,air-firebomb,USAAF,,,
Germany,"Stuttgart, Germany",9/12/44,9/12/44,957,957,,957.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Stuttgart,
Germany,"Darmstadt, Germany",9/11/44,9/12/44,11,12,,11500.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriff_auf_Darmstadt,
Germany,"Heilbronn, Germany",9/10/44,9/10/44,281,281,,281.0,1,1,1,air-firebomb,USAAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Heilbronn,
Germany,"Bremen, Germany",8/30/44,8/30/44,34,34,,34.0,1,1,1,air-firebomb,USAAF,,http://www.historic.de/Bremen_im_Krieg/Bombenangriffe/Bombenangriffe1942.htm,
Germany,"Lubeck, Germany",8/25/44,8/25/44,110,110,,110.0,1,1,1,air-firebomb,USAAF,,,
Germany,"Lubeck, Germany",3/28/42,3/29/42,301,1,,650.5,,,1,air-firebomb,RAF,,http://ww2db.com/battle_spec.php?battle_id=55,
Germany,"Bremen, Germany",8/18/44,8/19/44,"1,053","1,053",,1053.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Bremen#Luftangriffe,
